District code,State name,District name,Population,Male,Male_Literate
337,WEST BENGAL,North Twenty Four Parganas,10009781,5119389,4056046
338,WEST BENGAL,Hugli,5519145,2814653,2211777
339,WEST BENGAL,Bankura,3596674,1838095,1299337
340,WEST BENGAL,Puruliya,2930115,1496996,1002058
341,WEST BENGAL,Haora,4850029,2500819,1942824
342,WEST BENGAL,Kolkata,4496694,2356766,1926915
343,WEST BENGAL,South Twenty Four Parganas,8161961,4173778,3043277
344,WEST BENGAL,Paschim Medinipur,5913457,3007885,2266913
345,WEST BENGAL,Purba Medinipur,5095875,2629834,2149073
346,JHARKHAND,Garhwa,1322784,683575,405161
347,JHARKHAND,Chatra,1042886,533935,303902
348,JHARKHAND,Kodarma,716259,367222,238780
349,JHARKHAND,Giridih,2445474,1258098,783736
350,JHARKHAND,Deoghar,1492073,775022,489837
351,JHARKHAND,Godda,1313551,677927,376212
352,JHARKHAND,Sahibganj,1150567,589391,287303
353,JHARKHAND,Pakur,900422,452661,206989
354,JHARKHAND,Dhanbad,2684487,1405956,1014950
355,JHARKHAND,Bokaro,2062330,1072807,759088
356,JHARKHAND,Lohardaga,461790,232629,149568
357,JHARKHAND,Purbi Singhbhum,2293919,1176902,856526
358,JHARKHAND,Palamu,1939869,1006302,621706
359,JHARKHAND,Latehar,726978,369666,209706
360,JHARKHAND,Hazaribagh,1734495,890881,596113
361,JHARKHAND,Ramgarh,949443,494230,350031
362,JHARKHAND,Dumka,1321442,668514,406275
363,JHARKHAND,Jamtara,791042,404830,258260
364,JHARKHAND,Ranchi,2914253,1494937,1085244
365,JHARKHAND,Khunti,531885,266335,164741
366,JHARKHAND,Gumla,1025213,514390,321795
367,JHARKHAND,Simdega,599578,300309,191991
368,JHARKHAND,Pashchimi Singhbhum,1502338,749385,439273
369,JHARKHAND,Saraikela-Kharsawan,1065056,544411,365332
370,ORISSA,Bargarh,1481255,749161,557217
371,ORISSA,Jharsuguda,579505,296690,228092
372,ORISSA,Sambalpur,1041099,526877,393192
373,ORISSA,Debagarh,312520,158230,112649
374,ORISSA,Sundargarh,2093437,1061147,750147
375,ORISSA,Kendujhar,1801733,906487,605119
376,ORISSA,Mayurbhanj,2519738,1256213,794171
377,ORISSA,Baleshwar,2320529,1185787,902359
378,ORISSA,Bhadrak,1506337,760260,596269
379,ORISSA,Kendrapara,1440361,717814,579970
380,ORISSA,Jagatsinghapur,1136971,577865,481049
381,ORISSA,Cuttack,2624470,1352760,1103033
382,ORISSA,Jajapur,1827192,926034,706396
383,ORISSA,Dhenkanal,1192811,612593,464093
384,ORISSA,Anugul,1273821,655718,494425
385,ORISSA,Nayagarh,962789,502636,392333
386,ORISSA,Khordha,2251673,1167137,957515
387,ORISSA,Puri,1698730,865380,704857
388,ORISSA,Ganjam,3529031,1779218,1262652
389,ORISSA,Gajapati,577817,282882,153663
390,ORISSA,Kandhamal,733110,359945,233900
391,ORISSA,Baudh,441162,221625,158648
392,ORISSA,Subarnapur,610183,311312,230393
393,ORISSA,Balangir,1648997,830097,545672
394,ORISSA,Nuapada,610382,301962,180903
395,ORISSA,Kalahandi,1576869,787101,484177
396,ORISSA,Rayagada,967911,471960,241959
397,ORISSA,Nabarangapur,1220946,604812,286984
398,ORISSA,Koraput,1379647,678809,340843
399,ORISSA,Malkangiri,613192,303624,147001
400,CHHATTISGARH,Koriya,658917,334737,229923
401,CHHATTISGARH,Surguja,2359886,1193129,694686
402,CHHATTISGARH,Jashpur,851669,424747,280656
403,CHHATTISGARH,Raigarh,1493984,750278,542756
404,CHHATTISGARH,Korba,1206640,612915,433391
405,CHHATTISGARH,Janjgir - Champa,1619707,815717,593679
406,CHHATTISGARH,Bilaspur,2663629,1351574,932474
407,CHHATTISGARH,Kabeerdham,822526,412058,248503
408,CHHATTISGARH,Rajnandgaon,1537133,762855,561355
409,CHHATTISGARH,Durg,3343872,1682101,1284612
410,CHHATTISGARH,Raipur,4063872,2048186,1493158
411,CHHATTISGARH,Mahasamund,1032754,511967,364089
412,CHHATTISGARH,Dhamtari,799781,397897,303924
413,CHHATTISGARH,Uttar Bastar Kanker,748941,373338,258298
414,CHHATTISGARH,Bastar,1413199,698487,382335
415,CHHATTISGARH,Narayanpur,139820,70104,33449
416,CHHATTISGARH,Dakshin Bastar Dantewada,533638,264142,116529
417,CHHATTISGARH,Bijapur,255230,128663,54076
418,MADHYA PRADESH,Sheopur,687861,361784,208201
419,MADHYA PRADESH,Morena,1965970,1068417,747652
420,MADHYA PRADESH,Bhind,1703005,926843,676513
421,MADHYA PRADESH,Gwalior,2032036,1090327,803114
422,MADHYA PRADESH,Datia,786754,420157,303815
423,MADHYA PRADESH,Shivpuri,1726050,919795,573242
424,MADHYA PRADESH,Tikamgarh,1445166,760355,459353
425,MADHYA PRADESH,Chhatarpur,1762375,936121,572010
426,MADHYA PRADESH,Panna,1016520,533480,332140
427,MADHYA PRADESH,Sagar,2378458,1256257,908607
428,MADHYA PRADESH,Damoh,1264219,661873,445737
429,MADHYA PRADESH,Satna,2228935,1157495,801051
430,MADHYA PRADESH,Rewa,2365106,1225100,845572
431,MADHYA PRADESH,Umaria,644758,330674,210907
432,MADHYA PRADESH,Neemuch,826067,422653,307889
433,MADHYA PRADESH,Mandsaur,1340411,682851,502898
434,MADHYA PRADESH,Ratlam,1455069,738241,485090
435,MADHYA PRADESH,Ujjain,1986864,1016289,730817
436,MADHYA PRADESH,Shajapur,1512681,780520,543509
437,MADHYA PRADESH,Dewas,1563715,805359,550716
438,MADHYA PRADESH,Dhar,2185793,1112725,638479
439,MADHYA PRADESH,Indore,3276697,1699627,1289631
440,MADHYA PRADESH,Khargone (West Nimar),1873046,953121,575428
441,MADHYA PRADESH,Barwani,1385881,699340,313642
442,MADHYA PRADESH,Rajgarh,1545814,790212,488797
443,MADHYA PRADESH,Vidisha,1458875,769568,512344
444,MADHYA PRADESH,Bhopal,2371061,1236130,920314
445,MADHYA PRADESH,Sehore,1311332,683743,469208
446,MADHYA PRADESH,Raisen,1331597,700358,479093
447,MADHYA PRADESH,Betul,1575362,799236,529783
448,MADHYA PRADESH,Harda,570465,294838,203807
449,MADHYA PRADESH,Hoshangabad,1241350,648725,469199
450,MADHYA PRADESH,Katni,1292042,662013,460583
451,MADHYA PRADESH,Jabalpur,2463289,1277278,980307
452,MADHYA PRADESH,Narsimhapur,1091854,568810,413491
453,MADHYA PRADESH,Dindori,704524,351913,222759
454,MADHYA PRADESH,Mandla,1054905,525272,348033
455,MADHYA PRADESH,Chhindwara,2090922,1064468,731294
456,MADHYA PRADESH,Seoni,1379131,695879,485341
457,MADHYA PRADESH,Balaghat,1701698,842178,626468
458,MADHYA PRADESH,Guna,1241519,649362,400537
459,MADHYA PRADESH,Ashoknagar,845071,443837,290304
460,MADHYA PRADESH,Shahdol,1066063,540021,348761
461,MADHYA PRADESH,Anuppur,749237,379114,254120
462,MADHYA PRADESH,Sidhi,1127033,575912,353030
