District code,State name,District name,Population,Female,Female_Literate
341,WEST BENGAL,Haora,4850029,2349210,1662382
342,WEST BENGAL,Kolkata,4496694,2139928,1661222
343,WEST BENGAL,South Twenty Four Parganas,8161961,3988183,2488380
344,WEST BENGAL,Paschim Medinipur,5913457,2905572,1811499
345,WEST BENGAL,Purba Medinipur,5095875,2466041,1774121
346,JHARKHAND,Garhwa,1322784,639209,248315
347,JHARKHAND,Chatra,1042886,508951,206159
348,JHARKHAND,Kodarma,716259,349037,151469
349,JHARKHAND,Giridih,2445474,1187376,469739
350,JHARKHAND,Deoghar,1492073,717051,303701
351,JHARKHAND,Godda,1313551,635624,228307
352,JHARKHAND,Sahibganj,1150567,561176,195960
353,JHARKHAND,Pakur,900422,447761,145892
354,JHARKHAND,Dhanbad,2684487,1278531,707254
355,JHARKHAND,Bokaro,2062330,989523,514432
356,JHARKHAND,Lohardaga,461790,229161,110139
357,JHARKHAND,Purbi Singhbhum,2293919,1117017,651173
358,JHARKHAND,Palamu,1939869,933567,402857
359,JHARKHAND,Latehar,726978,357312,140976
360,JHARKHAND,Hazaribagh,1734495,843614,417136
361,JHARKHAND,Ramgarh,949443,455213,246466
362,JHARKHAND,Dumka,1321442,652928,266134
363,JHARKHAND,Jamtara,791042,386212,168052
364,JHARKHAND,Ranchi,2914253,1419316,826189
365,JHARKHAND,Khunti,531885,265550,119834
366,JHARKHAND,Gumla,1025213,510823,237925
367,JHARKHAND,Simdega,599578,299269,151492
368,JHARKHAND,Pashchimi Singhbhum,1502338,752953,288288
369,JHARKHAND,Saraikela-Kharsawan,1065056,520645,247661
370,ORISSA,Bargarh,1481255,732094,426566
371,ORISSA,Jharsuguda,579505,282815,177787
372,ORISSA,Sambalpur,1041099,514222,310499
373,ORISSA,Debagarh,312520,154290,85170
374,ORISSA,Sundargarh,2093437,1032290,592175
375,ORISSA,Kendujhar,1801733,895246,447399
376,ORISSA,Mayurbhanj,2519738,1263525,575226
377,ORISSA,Baleshwar,2320529,1134742,718873
378,ORISSA,Bhadrak,1506337,746077,497871
379,ORISSA,Kendrapara,1440361,722547,509295
380,ORISSA,Jagatsinghapur,1136971,559106,407978
381,ORISSA,Cuttack,2624470,1271710,908436
382,ORISSA,Jajapur,1827192,901158,584059
383,ORISSA,Dhenkanal,1192811,580218,365817
384,ORISSA,Anugul,1273821,618103,375031
385,ORISSA,Nayagarh,962789,460153,296029
386,ORISSA,Khordha,2251673,1084536,792421
387,ORISSA,Puri,1698730,833350,587082
388,ORISSA,Ganjam,3529031,1749813,947398
389,ORISSA,Gajapati,577817,294935,108874
390,ORISSA,Kandhamal,733110,373165,165886
391,ORISSA,Baudh,441162,219537,112964
392,ORISSA,Subarnapur,610183,298871,168028
393,ORISSA,Balangir,1648997,818900,381588
394,ORISSA,Nuapada,610382,308420,118480
395,ORISSA,Kalahandi,1576869,789768,317859
396,ORISSA,Rayagada,967911,495951,165776
397,ORISSA,Nabarangapur,1220946,616134,183395
398,ORISSA,Koraput,1379647,700838,227247
399,ORISSA,Malkangiri,613192,309568,97705
400,CHHATTISGARH,Koriya,658917,324180,167900
401,CHHATTISGARH,Surguja,2359886,1166757,493255
